cell_name,timing_mode,phase,model,batch_size,dataloader,repeat_count,ranks,n,median_ms,p95_ms,p99_ms,std_ms,baseline_median_ms,overhead_median_ms,overhead_median_pct,baseline_noise_floor_ms,within_baseline_noise
never_init,step,trace_context_enter_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
never_init,step,dataloader_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
never_init,step,h2d_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
never_init,step,zero_grad_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
never_init,step,forward_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
never_init,step,backward_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
never_init,step,optimizer_step_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
never_init,step,trace_context_exit_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
never_init,step,inter_step_idle_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
never_init,step,total_step_ms,tiny_mlp,256,synthetic,3,"0,1",6000,247.9804124999987,268.8909488501565,278.7660177999953,14.942222598082179,247.9804124999987,0.0,0.0,20.910536350157827,True
trace_auto,step,trace_context_enter_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_auto,step,dataloader_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_auto,step,h2d_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_auto,step,zero_grad_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_auto,step,forward_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_auto,step,backward_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_auto,step,optimizer_step_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_auto,step,trace_context_exit_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_auto,step,inter_step_idle_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_auto,step,total_step_ms,tiny_mlp,256,synthetic,3,"0,1",6000,317.3048334997475,354.3291044501757,372.51808312990767,20.986008732495197,247.9804124999987,69.32442099974878,27.95560354983648,20.910536350157827,False
trace_manual,step,trace_context_enter_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_manual,step,dataloader_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_manual,step,h2d_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_manual,step,zero_grad_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_manual,step,forward_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_manual,step,backward_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_manual,step,optimizer_step_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_manual,step,trace_context_exit_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_manual,step,inter_step_idle_ms,tiny_mlp,256,synthetic,3,"0,1",6000,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
trace_manual,step,total_step_ms,tiny_mlp,256,synthetic,3,"0,1",6000,264.5017515000063,301.8296325000847,320.967363340028,20.07869645024474,247.9804124999987,16.52133900000763,6.662356447208392,20.910536350157827,True
